timeStamp,elapsed,label,grpThreads,allThreads,Latency,SampleCount,ErrorCount
1654354084905,72,500KB,1,1,44,1,0
1654354085466,48,500KB,2,2,19,1,0
1654354086063,144,2MB,3,3,36,1,0
1654354086662,242,4MB,4,4,37,1,0
1654354086862,97,4MB,4,4,6,1,0
1654354087260,28,500KB,5,5,10,1,0
1654354087466,69,2MB,5,5,11,1,0
1654354087863,89,1MB,6,6,31,1,0
1654354088062,91,4MB,6,6,7,1,0
1654354088460,41,500KB,7,7,14,1,0
1654354088665,49,2MB,7,7,6,1,0
1654354088864,57,2MB,7,7,8,1,0
1654354089064,51,2MB,8,8,7,1,0
1654354089265,44,2MB,8,8,4,1,0
1654354089468,34,1MB,8,8,6,1,0
1654354089661,93,4MB,9,9,7,1,0
1654354089866,48,2MB,9,9,5,1,0
1654354090063,26,500KB,9,9,7,1,0
1654354090264,56,2MB,10,10,8,1,0
1654354090463,89,4MB,10,10,6,1,0
1654354090664,34,1MB,10,10,6,1,0
1654354090864,40,1MB,11,11,5,1,0
1654354090865,66,2MB,11,11,11,1,0
1654354091067,86,4MB,11,11,6,1,0
1654354091265,25,1MB,11,11,5,1,0
1654354091464,152,4MB,12,12,10,1,0
1654354091468,151,4MB,12,12,12,1,0
1654354091663,45,2MB,12,12,3,1,0
1654354091866,84,4MB,12,12,5,1,0
1654354092065,45,1MB,13,13,6,1,0
1654354092061,66,2MB,13,13,9,1,0
1654354092267,28,1MB,13,13,5,1,0
1654354092459,55,2MB,13,13,6,1,0
1654354092665,28,500KB,14,14,8,1,0
1654354092663,38,1MB,14,14,6,1,0
1654354092867,35,500KB,14,14,12,1,0
1654354092865,69,2MB,14,14,7,1,0
1654354093063,18,500KB,14,14,6,1,0
1654354093265,138,4MB,15,15,5,1,0
1654354093263,141,4MB,15,15,10,1,0
1654354093468,39,1MB,15,15,3,1,0
1654354093465,60,2MB,15,15,4,1,0
1654354093665,20,500KB,15,15,6,1,0
1654354093863,44,500KB,16,16,12,1,0
1654354093866,42,500KB,16,16,15,1,0
1654354094064,41,1MB,16,16,5,1,0
1654354094066,62,2MB,16,16,7,1,0
1654354094268,17,500KB,16,16,3,1,0
1654354094462,52,1MB,17,17,6,1,0
1654354094464,68,2MB,17,17,11,1,0
1654354094666,29,500KB,17,17,10,1,0
1654354094666,101,4MB,17,17,5,1,0
1654354094864,132,4MB,17,17,6,1,0
1654354094868,132,4MB,17,17,9,1,0
1654354095062,42,1MB,18,18,7,1,0
1654354095066,41,1MB,18,18,6,1,0
1654354095264,23,500KB,18,18,5,1,0
1654354095266,24,500KB,18,18,4,1,0
1654354095468,39,1MB,18,18,7,1,0
1654354095468,59,2MB,18,18,4,1,0
1654354095664,39,1MB,19,19,7,1,0
1654354095661,101,4MB,19,19,7,1,0
1654354095866,27,500KB,19,19,5,1,0
1654354095868,54,2MB,19,19,6,1,0
1654354096061,34,500KB,19,19,6,1,0
1654354096064,109,4MB,19,19,11,1,0
1654354096258,69,2MB,20,20,5,1,0
1654354096263,108,4MB,20,20,6,1,0
1654354096467,42,1MB,20,20,10,1,0
1654354096461,99,4MB,20,20,5,1,0
1654354096664,27,500KB,20,20,5,1,0
1654354096664,103,4MB,20,20,7,1,0
1654354096860,33,500KB,21,21,7,1,0
1654354096864,48,1MB,21,21,10,1,0
1654354096862,115,4MB,21,21,9,1,0
1654354097064,29,500KB,21,21,6,1,0
1654354097065,60,2MB,21,21,7,1,0
1654354097267,39,1MB,21,21,6,1,0
1654354097264,60,2MB,21,21,5,1,0
1654354097465,35,500KB,22,22,10,1,0
1654354097463,76,2MB,22,22,7,1,0
1654354097465,115,4MB,22,22,10,1,0
1654354097665,82,2MB,22,22,8,1,0
1654354097665,121,4MB,22,22,6,1,0
1654354097866,33,1MB,22,22,5,1,0
1654354097867,90,4MB,22,22,5,1,0
1654354098062,32,500KB,23,23,7,1,0
1654354098064,31,500KB,23,23,9,1,0
1654354098061,101,4MB,23,23,5,1,0
1654354098263,75,2MB,23,23,8,1,0
1654354098261,117,4MB,23,23,5,1,0
